18 , HARMONY MALL , Near Our Lady of Assumption  , SAN VICENTE ROAD VILLA OLYMPIA ST . SAN PEDRO LAGUNA
19 , PG IMUS  ,  046-8752154 , Inside Puregold Imus  , LOWER GR. RFC MALL AGUINALDO HI-WAY PALICO 3 IMUS CAVITE
20 , IMUS , 046-8751882193   , Fronting Puregold Imus  , PALICO IV IMUS CAVITE
21 , BUHAY NA TUBIG   , Fronting National Bookstore , 046-529-1566UNIT E  ,  3AJ COMMERCIAL CENTER BUHAY NA TUBIG IMUS CAVITE
22 , BAHAYANG PAG ASA  , Beside Mini-stop , 046-5733074 , #30 KALAW ST. COR. AVENIDA RIZAL BAHAYANG PAGASA  IMUS CAVITE
23 , CITYMALL IMUS  , Inside City Mall  , 046-435-2393 , GF UNIT 123 CITYMALL IMUS BRGY ANABU 2C IMUS CAVITE
24 , ST. PETER , Fronting Alphamart , 046-8532589BLK. 2 LOT 20  CONGRESSIONAL RD. BRGY. ST PETER 1 DBB DASMARINAS CAVITE  -
25 , LUZVIMINDA  , Near Gaso Gasoline Station ,  fronting MYJE Ochoa Pawnshop , 046-8512825BLK. A 18 C– A LOT 1 BRGY. LUZVIMINDA 1 AREA D DASMA CAVITE –
26 , DASMA LA SALLE  , Fronting De La Salle Dasmarinas , 046-8512732PAKINGAN RES. CONGRESSIONAL AVE. BRGY. BUROL 1 1 DASMARINAS CAVITE
27 , DASMA BAYAN  , Fronting Immaculate Concepcion Academy , 046-8502159ROSARIO RUSTICA CAMPOS BLDG. MALIHAN COR.  CAMERINO AVE . ZONE 1 DASAMRINAS CAVITE
